1.179.147.2,1385,248.997
1.192.224.66,1673,283.558
1.63.18.22,1280,653.330
1.85.17.82,30,305.909
101.226.74.168,20585,325.768
101.255.36.122,1507,213.832
101.44.3.50,30,225.780
103.22.248.98,1620,238.212
103.247.16.29,4405,232.908
103.247.16.9,4527,240.449
103.28.227.78,5261,222.348
103.28.36.35,30,185.548
103.4.165.190,1451,210.566
103.5.185.23,30,300.799
103.5.48.198,16609,243.213
missing avg latency
107.17.92.18,1789,70.183
missing avg latency
missing avg latency
missing avg latency
missing avg latency
108.12.19.125,30,98.110
missing avg latency
108.41.35.10,30,83.514
108.61.89.152,4260,79.996
